id,availability,availability_date
IN712,backorder,2026-07-30T00:00:00+00:00
IN969,backorder,2026-07-30T00:00:00+00:00
IN1671,backorder,2026-07-30T00:00:00+00:00
IN1778,backorder,2026-07-30T00:00:00+00:00
IN831,backorder,2026-07-30T00:00:00+00:00
IN1425,backorder,2026-07-30T00:00:00+00:00
IN1681,backorder,2026-07-30T00:00:00+00:00
ASB315,backorder,2026-07-30T00:00:00+00:00
IN251,backorder,2026-07-30T00:00:00+00:00
IN283,backorder,2026-07-30T00:00:00+00:00
IN776,backorder,2026-07-30T00:00:00+00:00
IN777,backorder,2026-07-30T00:00:00+00:00
IN817,backorder,2026-07-30T00:00:00+00:00
IN285,backorder,2026-07-30T00:00:00+00:00
IN879,backorder,2026-07-30T00:00:00+00:00
IN3530,backorder,2026-07-30T00:00:00+00:00
IN129,backorder,2026-07-30T00:00:00+00:00
IN662,backorder,2026-07-30T00:00:00+00:00
IN899,backorder,2026-07-30T00:00:00+00:00
IN3308,backorder,2026-07-30T00:00:00+00:00
IN3148,backorder,2026-07-30T00:00:00+00:00
IN3567,backorder,2026-07-30T00:00:00+00:00
IN3531,backorder,2026-07-30T00:00:00+00:00
IN3532,backorder,2026-07-30T00:00:00+00:00
IN1418,backorder,2026-07-30T00:00:00+00:00
IN3245,backorder,2026-07-30T00:00:00+00:00
IN3542,backorder,2026-07-30T00:00:00+00:00
IN1668,backorder,2026-07-30T00:00:00+00:00
IN3336,backorder,2026-07-30T00:00:00+00:00
IN3387,backorder,2026-07-30T00:00:00+00:00
IN3439,backorder,2026-07-30T00:00:00+00:00
IN353,backorder,2026-07-30T00:00:00+00:00
IN856,backorder,2026-07-30T00:00:00+00:00
IN243,backorder,2026-07-30T00:00:00+00:00
IN859,backorder,2026-07-30T00:00:00+00:00
IN3499,backorder,2026-07-30T00:00:00+00:00
IN3604,backorder,2026-07-30T00:00:00+00:00
IN970,backorder,2026-07-30T00:00:00+00:00
IN3566,backorder,2026-07-30T00:00:00+00:00
IN1064,backorder,2026-07-30T00:00:00+00:00
IN1833,backorder,2026-07-30T00:00:00+00:00
IN3335,backorder,2026-07-30T00:00:00+00:00
IN3440,backorder,2026-07-30T00:00:00+00:00
IN3422,backorder,2026-07-30T00:00:00+00:00
IN3319,backorder,2026-07-30T00:00:00+00:00
